"county","total_cases","date","new_cases"
"Worcester",73,2020-03-24,31
"Unknown",90,2020-03-24,33
"Barnstable",51,2020-03-25,11
"Berkshire",71,2020-03-25,34
"Bristol",67,2020-03-25,36
"Dukes",3,2020-03-25,1
"Essex",177,2020-03-25,59
"Franklin",14,2020-03-25,9
"Hampden",45,2020-03-25,21
"Hampshire",11,2020-03-25,3
"Middlesex",446,2020-03-25,142
"Norfolk",222,2020-03-25,93
"Plymouth",101,2020-03-25,37
"Suffolk",342,2020-03-25,108
"Worcester",129,2020-03-25,56
"Unknown",159,2020-03-25,69
"Barnstable",67,2020-03-26,16
"Berkshire",73,2020-03-26,2
"Bristol",90,2020-03-26,23
"Dukes",3,2020-03-26,0
"Essex",247,2020-03-26,70
"Franklin",16,2020-03-26,2
"Hampden",55,2020-03-26,10
"Hampshire",17,2020-03-26,6
"Middlesex",538,2020-03-26,92
"Norfolk",292,2020-03-26,70
"Plymouth",138,2020-03-26,37
"Suffolk",448,2020-03-26,106
"Worcester",166,2020-03-26,37
"Unknown",267,2020-03-26,108
"Barnstable",100,2020-03-27,33
"Berkshire",105,2020-03-27,32
"Bristol",129,2020-03-27,39
"Dukes",4,2020-03-27,1
"Essex",350,2020-03-27,103
"Franklin",24,2020-03-27,8
"Hampden",90,2020-03-27,35
"Hampshire",20,2020-03-27,3
"Middlesex",685,2020-03-27,147
"Norfolk",393,2020-03-27,101
"Plymouth",187,2020-03-27,49
"Suffolk",631,2020-03-27,183
"Worcester",219,2020-03-27,53
"Unknown",303,2020-03-27,36
"Barnstable",133,2020-03-28,33
"Berkshire",119,2020-03-28,14
"Bristol",179,2020-03-28,50
"Dukes",8,2020-03-28,4
"Essex",472,2020-03-28,122
"Franklin",39,2020-03-28,15
"Hampden",183,2020-03-28,93
"Hampshire",30,2020-03-28,10
"Middlesex",842,2020-03-28,157
"Norfolk",490,2020-03-28,97
"Plymouth",272,2020-03-28,85
"Suffolk",843,2020-03-28,212
"Worcester",291,2020-03-28,72
"Unknown",356,2020-03-28,53
"Barnstable",148,2020-03-29,15
"Berkshire",151,2020-03-29,32
"Bristol",208,2020-03-29,29
"Dukes",8,2020-03-29,0
"Essex",570,2020-03-29,98
"Franklin",41,2020-03-29,2
"Hampden",201,2020-03-29,18
"Hampshire",37,2020-03-29,7
"Middlesex",981,2020-03-29,139
"Norfolk",548,2020-03-29,58
"Plymouth",325,2020-03-29,53
"Suffolk",940,2020-03-29,97
"Worcester",337,2020-03-29,46
"Unknown",460,2020-03-29,104
"Barnstable",173,2020-03-30,25
"Berkshire",162,2020-03-30,11
"Bristol",263,2020-03-30,55
"Dukes",8,2020-03-30,0
"Essex",653,2020-03-30,83
"Franklin",49,2020-03-30,8
"Hampden",255,2020-03-30,54
"Hampshire",46,2020-03-30,9
"Middlesex",1141,2020-03-30,160
"Norfolk",628,2020-03-30,80
"Plymouth",380,2020-03-30,55
"Suffolk",1115,2020-03-30,175
"Worcester",390,2020-03-30,53
"Unknown",489,2020-03-30,29
"Barnstable",191,2020-03-31,18
"Berkshire",171,2020-03-31,9
"Bristol",306,2020-03-31,43
"Dukes",8,2020-03-31,0
"Essex",784,2020-03-31,131
"Franklin",61,2020-03-31,12
"Hampden",354,2020-03-31,99
"Hampshire",69,2020-03-31,23
"Middlesex",1340,2020-03-31,199
"Norfolk",738,2020-03-31,110
"Plymouth",459,2020-03-31,79
"Suffolk",1373,2020-03-31,258
"Worcester",433,2020-03-31,43
"Unknown",333,2020-03-31,-156
"Barnstable",255,2020-04-01,64
"Berkshire",183,2020-04-01,12
"Bristol",366,2020-04-01,60
"Dukes",11,2020-04-01,3
"Essex",885,2020-04-01,101
"Franklin",72,2020-04-01,11
"Hampden",475,2020-04-01,121
"Hampshire",81,2020-04-01,12
"Middlesex",1582,2020-04-01,242
"Norfolk",829,2020-04-01,91
"Plymouth",561,2020-04-01,102
"Suffolk",1624,2020-04-01,251
"Worcester",563,2020-04-01,130
"Unknown",251,2020-04-01,-82
"Barnstable",283,2020-04-02,28
"Berkshire",213,2020-04-02,30
"Bristol",424,2020-04-02,58
"Dukes",5,2020-04-02,-6
"Essex",1039,2020-04-02,154
"Franklin",85,2020-04-02,13
"Hampden",546,2020-04-02,71
"Hampshire",102,2020-04-02,21
"Middlesex",1870,2020-04-02,288
"Nantucket",7,2020-04-02,0
"Norfolk",938,2020-04-02,109
"Plymouth",621,2020-04-02,60
"Suffolk",1896,2020-04-02,272
"Worcester",667,2020-04-02,104
"Unknown",270,2020-04-02,19
"Barnstable",314,2020-04-03,31
"Berkshire",240,2020-04-03,27
"Bristol",517,2020-04-03,93
"Dukes",7,2020-04-03,2
"Essex",1238,2020-04-03,199
"Franklin",89,2020-04-03,4
"Hampden",661,2020-04-03,115
"Hampshire",114,2020-04-03,12
"Middlesex",2202,2020-04-03,332
"Nantucket",9,2020-04-03,2
"Norfolk",1045,2020-04-03,107
"Plymouth",745,2020-04-03,124
"Suffolk",2183,2020-04-03,287
"Worcester",825,2020-04-03,158
"Unknown",213,2020-04-03,-57
"Barnstable",330,2020-04-04,16
"Berkshire",253,2020-04-04,13
"Bristol",601,2020-04-04,84
"Dukes",7,2020-04-04,0
"Essex",1400,2020-04-04,162
"Franklin",95,2020-04-04,6
"Hampden",733,2020-04-04,72
"Hampshire",125,2020-04-04,11
"Middlesex",2468,2020-04-04,266
"Nantucket",9,2020-04-04,0
"Norfolk",1199,2020-04-04,154
"Plymouth",898,2020-04-04,153
"Suffolk",2429,2020-04-04,246
"Worcester",915,2020-04-04,90
"Unknown",274,2020-04-04,61
"Barnstable",347,2020-04-05,17
"Berkshire",258,2020-04-05,5
"Bristol",659,2020-04-05,58
"Dukes",8,2020-04-05,1
"Essex",1506,2020-04-05,106
"Franklin",100,2020-04-05,5
"Hampden",768,2020-04-05,35
"Hampshire",128,2020-04-05,3
"Middlesex",2632,2020-04-05,164
"Nantucket",9,2020-04-05,0
"Norfolk",1271,2020-04-05,72
"Plymouth",963,2020-04-05,65
"Suffolk",2658,2020-04-05,229
"Worcester",978,2020-04-05,63
"Unknown",215,2020-04-05,-59
"Barnstable",383,2020-04-06,36
"Berkshire",268,2020-04-06,10
"Bristol",722,2020-04-06,63
"Dukes",8,2020-04-06,0
"Essex",1653,2020-04-06,147
"Franklin",107,2020-04-06,7
"Hampden",889,2020-04-06,121
"Hampshire",147,2020-04-06,19
"Middlesex",2950,2020-04-06,318
"Nantucket",9,2020-04-06,0
"Norfolk",1382,2020-04-06,111
"Plymouth",1067,2020-04-06,104
"Suffolk",2929,2020-04-06,271
"Worcester",1077,2020-04-06,99
"Unknown",246,2020-04-06,31
"Barnstable",405,2020-04-07,22
"Berkshire",278,2020-04-07,10
"Bristol",768,2020-04-07,46
"Dukes",9,2020-04-07,1
"Essex",1841,2020-04-07,188
"Franklin",118,2020-04-07,11
"Hampden",997,2020-04-07,108
"Hampshire",158,2020-04-07,11
"Middlesex",3187,2020-04-07,237
"Nantucket",9,2020-04-07,0
"Norfolk",1592,2020-04-07,210
"Plymouth",1194,2020-04-07,127
"Suffolk",3245,2020-04-07,316
"Worcester",1172,2020-04-07,95
"Unknown",229,2020-04-07,-17
"Barnstable",423,2020-04-08,18
"Berkshire",281,2020-04-08,3
"Bristol",835,2020-04-08,67
"Dukes",8,2020-04-08,-1
"Essex",2103,2020-04-08,262
"Franklin",117,2020-04-08,-1
"Hampden",1081,2020-04-08,84
"Hampshire",164,2020-04-08,6
"Middlesex",3545,2020-04-08,358
"Nantucket",9,2020-04-08,0
"Norfolk",1778,2020-04-08,186
"Plymouth",1327,2020-04-08,133
"Suffolk",3600,2020-04-08,355
"Worcester",1296,2020-04-08,124
"Unknown",223,2020-04-08,-6
"Barnstable",444,2020-04-09,21
"Berkshire",304,2020-04-09,23
"Bristol",994,2020-04-09,159
"Dukes",9,2020-04-09,1
"Essex",2336,2020-04-09,233
"Franklin",128,2020-04-09,11
"Hampden",1276,2020-04-09,195
"Hampshire",177,2020-04-09,13
"Middlesex",4045,2020-04-09,500
"Nantucket",9,2020-04-09,0
"Norfolk",2007,2020-04-09,229
"Plymouth",1507,2020-04-09,180
"Suffolk",4041,2020-04-09,441
"Worcester",1461,2020-04-09,165
"Unknown",203,2020-04-09,-20
"Barnstable",464,2020-04-10,20
"Berkshire",329,2020-04-10,25
"Bristol",1086,2020-04-10,92
"Dukes",12,2020-04-10,3
"Essex",2670,2020-04-10,334
"Franklin",135,2020-04-10,7
"Hampden",1394,2020-04-10,118
"Hampshire",194,2020-04-10,17
"Middlesex",4447,2020-04-10,402
"Nantucket",9,2020-04-10,0
"Norfolk",2216,2020-04-10,209
"Plymouth",1677,2020-04-10,170
"Suffolk",4534,2020-04-10,493
"Worcester",1678,2020-04-10,217
"Unknown",129,2020-04-10,-74
"Barnstable",480,2020-04-11,16
"Berkshire",336,2020-04-11,7
"Bristol",1191,2020-04-11,105
"Dukes",12,2020-04-11,0
"Essex",2896,2020-04-11,226
"Franklin",138,2020-04-11,3
"Hampden",1545,2020-04-11,151
"Hampshire",204,2020-04-11,10
"Middlesex",4872,2020-04-11,425
"Nantucket",9,2020-04-11,0
"Norfolk",2395,2020-04-11,179
"Plymouth",1809,2020-04-11,132
"Suffolk",4926,2020-04-11,392
"Worcester",1822,2020-04-11,144
"Unknown",225,2020-04-11,96
"Barnstable",501,2020-04-12,21
"Berkshire",350,2020-04-12,14
"Bristol",1327,2020-04-12,136
"Dukes",12,2020-04-12,0
"Essex",3170,2020-04-12,274
"Franklin",143,2020-04-12,5
"Hampden",1647,2020-04-12,102
"Hampshire",219,2020-04-12,15
"Middlesex",5660,2020-04-12,788
"Nantucket",9,2020-04-12,0
"Norfolk",2649,2020-04-12,254
"Plymouth",2024,2020-04-12,215
"Suffolk",5359,2020-04-12,433
"Worcester",2032,2020-04-12,210
"Unknown",373,2020-04-12,148
"Barnstable",502,2020-04-13,1
"Berkshire",355,2020-04-13,5
"Bristol",1394,2020-04-13,67
"Dukes",12,2020-04-13,0
"Essex",3413,2020-04-13,243
"Franklin",148,2020-04-13,5
"Hampden",1694,2020-04-13,47
"Hampshire",224,2020-04-13,5
"Middlesex",5983,2020-04-13,323
"Nantucket",9,2020-04-13,0
"Norfolk",2838,2020-04-13,189
"Plymouth",2141,2020-04-13,117
"Suffolk",5579,2020-04-13,220
"Worcester",2128,2020-04-13,96
"Unknown",447,2020-04-13,74
"Barnstable",514,2020-04-14,12
"Berkshire",360,2020-04-14,5
"Bristol",1435,2020-04-14,41
"Dukes",11,2020-04-14,-1
"Essex",3594,2020-04-14,181
"Franklin",155,2020-04-14,7
"Hampden",1798,2020-04-14,104
"Hampshire",233,2020-04-14,9
"Middlesex",6254,2020-04-14,271
"Nantucket",9,2020-04-14,0
"Norfolk",2969,2020-04-14,131
"Plymouth",2207,2020-04-14,66
"Suffolk",5872,2020-04-14,293
"Worcester",2246,2020-04-14,118
"Unknown",506,2020-04-14,59
"Barnstable",530,2020-04-15,16
"Berkshire",370,2020-04-15,10
"Bristol",1508,2020-04-15,73
"Dukes",11,2020-04-15,0
"Essex",3894,2020-04-15,300
"Franklin",160,2020-04-15,5
"Hampden",1885,2020-04-15,87
"Hampshire",239,2020-04-15,6
"Middlesex",6681,2020-04-15,427
"Nantucket",9,2020-04-15,0
"Norfolk",3122,2020-04-15,153
"Plymouth",2308,2020-04-15,101
"Suffolk",6279,2020-04-15,407
"Worcester",2350,2020-04-15,104
"Unknown",572,2020-04-15,66
"Barnstable",550,2020-04-16,20
"Berkshire",382,2020-04-16,12
"Bristol",1605,2020-04-16,97
"Dukes",12,2020-04-16,1
"Essex",4245,2020-04-16,351
"Franklin",170,2020-04-16,10
"Hampden",1985,2020-04-16,100
"Hampshire",248,2020-04-16,9
"Middlesex",7206,2020-04-16,525
"Nantucket",9,2020-04-16,0
"Norfolk",3342,2020-04-16,220
"Plymouth",2466,2020-04-16,158
"Suffolk",6820,2020-04-16,541
"Worcester",2503,2020-04-16,153
"Unknown",638,2020-04-16,66
"Barnstable",573,2020-04-17,23
"Berkshire",383,2020-04-17,1
"Bristol",1659,2020-04-17,54
"Dukes",12,2020-04-17,0
"Essex",4584,2020-04-17,339
"Franklin",173,2020-04-17,3
"Hampden",2134,2020-04-17,149
"Hampshire",258,2020-04-17,10
"Middlesex",7744,2020-04-17,538
"Nantucket",9,2020-04-17,0
"Norfolk",3499,2020-04-17,157
"Plymouth",2577,2020-04-17,111
"Suffolk",7272,2020-04-17,452
"Worcester",2765,2020-04-17,262
"Unknown",760,2020-04-17,122
"Barnstable",590,2020-04-18,17
"Berkshire",385,2020-04-18,2
"Bristol",1698,2020-04-18,39
"Dukes",14,2020-04-18,2
"Essex",4914,2020-04-18,330
"Franklin",177,2020-04-18,4
"Hampden",2254,2020-04-18,120
"Hampshire",306,2020-04-18,48
"Middlesex",8297,2020-04-18,553
"Nantucket",9,2020-04-18,0
"Norfolk",3659,2020-04-18,160
"Plymouth",2688,2020-04-18,111
"Suffolk",7696,2020-04-18,424
"Worcester",2952,2020-04-18,187
"Unknown",733,2020-04-18,-27
"Barnstable",632,2020-04-19,42
"Berkshire",387,2020-04-19,2
"Bristol",1731,2020-04-19,33
"Dukes",14,2020-04-19,0
"Essex",5153,2020-04-19,239
"Franklin",181,2020-04-19,4
"Hampden",2337,2020-04-19,83
"Hampshire",317,2020-04-19,11
"Middlesex",8737,2020-04-19,440
"Nantucket",9,2020-04-19,0
"Norfolk",3789,2020-04-19,130
"Plymouth",2832,2020-04-19,144
"Suffolk",8074,2020-04-19,378
"Worcester",3069,2020-04-19,117
"Unknown",815,2020-04-19,82
"Middlesex",9253,2020-04-20,516
"Suffolk",8314,2020-04-20,240
"Essex",5296,2020-04-20,143
"Norfolk",3960,2020-04-20,171
"Worcester",3179,2020-04-20,110
"Plymouth",2976,2020-04-20,144
"Hampden",2438,2020-04-20,101
"Bristol",1779,2020-04-20,48
"Unknown",855,2020-04-20,40
"Barnstable",664,2020-04-20,32
"Berkshire",387,2020-04-20,0
"Hampshire",332,2020-04-20,15
"Franklin",187,2020-04-20,6
"Dukes",14,2020-04-20,0
"Nantucket",9,2020-04-20,0
"Middlesex",9621,2020-04-21,368
"Suffolk",8669,2020-04-21,355
"Essex",5521,2020-04-21,225
"Norfolk",4062,2020-04-21,102
"Worcester",3341,2020-04-21,162
"Plymouth",3043,2020-04-21,67
"Hampden",2533,2020-04-21,95
"Bristol",1852,2020-04-21,73
"Unknown",929,2020-04-21,74
"Barnstable",672,2020-04-21,8
"Berkshire",404,2020-04-21,17
"Hampshire",337,2020-04-21,5
"Franklin",192,2020-04-21,5
"Dukes",14,2020-04-21,0
"Nantucket",9,2020-04-21,0
"Middlesex",10094,2020-04-22,473
"Suffolk",9060,2020-04-22,391
"Essex",5783,2020-04-22,262
"Norfolk",4212,2020-04-22,150
"Worcester",3456,2020-04-22,115
"Plymouth",3253,2020-04-22,210
"Hampden",2678,2020-04-22,145
"Bristol",1908,2020-04-22,56
"Unknown",854,2020-04-22,-75
"Barnstable",678,2020-04-22,6
"Berkshire",404,2020-04-22,0
"Hampshire",345,2020-04-22,8
"Franklin",196,2020-04-22,4
"Dukes",14,2020-04-22,0
"Nantucket",9,2020-04-22,0
"Middlesex",10724,2020-04-23,630
"Suffolk",9739,2020-04-23,679
"Essex",6219,2020-04-23,436
"Norfolk",4541,2020-04-23,329
"Worcester",3798,2020-04-23,342
"Plymouth",3529,2020-04-23,276
"Hampden",2836,2020-04-23,158
"Bristol",2181,2020-04-23,273
"Unknown",737,2020-04-23,-117
"Barnstable",708,2020-04-23,30
"Berkshire",418,2020-04-23,14
"Hampshire",367,2020-04-23,22
"Franklin",203,2020-04-23,7
"Dukes",14,2020-04-23,0
"Nantucket",9,2020-04-23,0
"Middlesex",11681,2020-04-24,957
"Suffolk",10724,2020-04-24,985
"Essex",6841,2020-04-24,622
"Norfolk",4979,2020-04-24,438
"Worcester",4227,2020-04-24,429
"Plymouth",4160,2020-04-24,631
"Hampden",3060,2020-04-24,224
"Bristol",2697,2020-04-24,516
"Unknown",791,2020-04-24,54
"Barnstable",747,2020-04-24,39
"Berkshire",425,2020-04-24,7
"Hampshire",396,2020-04-24,29
"Franklin",217,2020-04-24,14
"Dukes",15,2020-04-24,1
"Nantucket",9,2020-04-24,0
"Middlesex",12253,2020-04-25,572
"Suffolk",11218,2020-04-25,494
"Essex",7212,2020-04-25,371
"Norfolk",5172,2020-04-25,193
"Worcester",4460,2020-04-25,233
"Plymouth",4380,2020-04-25,220
"Hampden",3229,2020-04-25,169
"Bristol",2829,2020-04-25,132
"Barnstable",756,2020-04-25,9
"Unknown",753,2020-04-25,-38
"Berkshire",425,2020-04-25,0
"Hampshire",412,2020-04-25,16
"Franklin",225,2020-04-25,8
"Dukes",15,2020-04-25,0
"Nantucket",9,2020-04-25,0
"Middlesex",12648,2020-04-26,395
"Suffolk",11543,2020-04-26,325
"Essex",7489,2020-04-26,277
"Norfolk",5288,2020-04-26,116
"Worcester",4572,2020-04-26,112
"Plymouth",4495,2020-04-26,115
"Hampden",3295,2020-04-26,66
"Bristol",2923,2020-04-26,94
"Unknown",807,2020-04-26,54
"Barnstable",772,2020-04-26,16
"Berkshire",428,2020-04-26,3
"Hampshire",427,2020-04-26,15
"Franklin",226,2020-04-26,1
"Dukes",15,2020-04-26,0
"Nantucket",10,2020-04-26,1
"Middlesex",12953,2020-04-27,305
"Suffolk",11883,2020-04-27,340
"Essex",7708,2020-04-27,219
"Norfolk",5398,2020-04-27,110
"Worcester",4744,2020-04-27,172
"Plymouth",4607,2020-04-27,112
"Hampden",3381,2020-04-27,86
"Bristol",3068,2020-04-27,145
"Barnstable",798,2020-04-27,26
"Unknown",795,2020-04-27,-12
"Hampshire",443,2020-04-27,16
"Berkshire",428,2020-04-27,0
"Franklin",231,2020-04-27,5
"Dukes",15,2020-04-27,0
"Nantucket",10,2020-04-27,0
"Middlesex",13417,2020-04-28,464
"Suffolk",12140,2020-04-28,257
"Essex",7972,2020-04-28,264
"Norfolk",5567,2020-04-28,169
"Worcester",4999,2020-04-28,255
"Plymouth",4744,2020-04-28,137
"Hampden",3546,2020-04-28,165
"Bristol",3270,2020-04-28,202
"Barnstable",820,2020-04-28,22
"Unknown",625,2020-04-28,-170
"Hampshire",509,2020-04-28,66
"Berkshire",430,2020-04-28,2
"Franklin",237,2020-04-28,6
"Dukes",15,2020-04-28,0
"Nantucket",11,2020-04-28,1
"Middlesex",13799,2020-04-29,382
"Suffolk",12539,2020-04-29,399
"Essex",8380,2020-04-29,408
"Norfolk",5700,2020-04-29,133
"Worcester",5300,2020-04-29,301
"Plymouth",4871,2020-04-29,127
"Hampden",3698,2020-04-29,152
"Bristol",3429,2020-04-29,159
"Barnstable",842,2020-04-29,22
"Hampshire",531,2020-04-29,22
"Unknown",457,2020-04-29,-168
"Berkshire",440,2020-04-29,10
"Franklin",252,2020-04-29,15
"Dukes",16,2020-04-29,1
"Nantucket",11,2020-04-29,0
"Middlesex",14208,2020-04-30,409
"Suffolk",12890,2020-04-30,351
"Essex",8673,2020-04-30,293
"Norfolk",5896,2020-04-30,196
"Worcester",5550,2020-04-30,250
"Plymouth",5083,2020-04-30,212
"Hampden",3777,2020-04-30,79
"Bristol",3580,2020-04-30,151
"Barnstable",860,2020-04-30,18
"Hampshire",546,2020-04-30,15
"Berkshire",442,2020-04-30,2
"Unknown",415,2020-04-30,-42
"Franklin",257,2020-04-30,5
"Dukes",17,2020-04-30,1
"Nantucket",11,2020-04-30,0
"Middlesex",14607,2020-05-01,399
"Suffolk",13295,2020-05-01,405
"Essex",9028,2020-05-01,355
"Norfolk",6065,2020-05-01,169
"Worcester",5787,2020-05-01,237
"Plymouth",5259,2020-05-01,176
"Hampden",3900,2020-05-01,123
"Bristol",3792,2020-05-01,212
"Barnstable",902,2020-05-01,42
"Hampshire",518,2020-05-01,-28
"Berkshire",444,2020-05-01,2
"Unknown",425,2020-05-01,10
"Franklin",260,2020-05-01,3
"Dukes",18,2020-05-01,1
"Nantucket",11,2020-05-01,0
"Middlesex",15048,2020-05-02,441
"Suffolk",13606,2020-05-02,311
"Essex",9362,2020-05-02,334
"Norfolk",6187,2020-05-02,122
"Worcester",6129,2020-05-02,342
"Plymouth",5409,2020-05-02,150
"Hampden",4003,2020-05-02,103
"Bristol",3916,2020-05-02,124
"Barnstable",937,2020-05-02,35
"Hampshire",549,2020-05-02,31
"Berkshire",448,2020-05-02,4
"Unknown",377,2020-05-02,-48
"Franklin",263,2020-05-02,3
"Dukes",18,2020-05-02,0
"Nantucket",11,2020-05-02,0
"Middlesex",15370,2020-05-03,322
"Suffolk",13777,2020-05-03,171
"Essex",9542,2020-05-03,180
"Worcester",6288,2020-05-03,159
"Norfolk",6280,2020-05-03,93
"Plymouth",5507,2020-05-03,98
"Hampden",4066,2020-05-03,63
"Bristol",4019,2020-05-03,103
"Unknown",981,2020-05-03,604
"Barnstable",946,2020-05-03,9
"Hampshire",559,2020-05-03,10
"Berkshire",451,2020-05-03,3
"Franklin",269,2020-05-03,6
"Dukes",21,2020-05-03,3
"Nantucket",11,2020-05-03,0
"Middlesex",15757,2020-05-04,387
"Suffolk",13941,2020-05-04,164
"Essex",9773,2020-05-04,231
"Worcester",6471,2020-05-04,183
"Norfolk",6382,2020-05-04,102
"Plymouth",5602,2020-05-04,95
"Hampden",4114,2020-05-04,48
"Bristol",4103,2020-05-04,84
"Barnstable",961,2020-05-04,15
"Unknown",662,2020-05-04,-319
"Hampshire",563,2020-05-04,4
"Berkshire",453,2020-05-04,2
"Franklin",273,2020-05-04,4
"Dukes",21,2020-05-04,0
"Nantucket",11,2020-05-04,0
"Middlesex",15980,2020-05-05,223
"Suffolk",14173,2020-05-05,232
"Essex",9979,2020-05-05,206
"Worcester",6597,2020-05-05,126
"Norfolk",6466,2020-05-05,84
"Plymouth",5736,2020-05-05,134
"Bristol",4235,2020-05-05,132
"Hampden",4203,2020-05-05,89
"Barnstable",969,2020-05-05,8
"Unknown",594,2020-05-05,-68
"Hampshire",575,2020-05-05,12
"Berkshire",457,2020-05-05,4
"Franklin",275,2020-05-05,2
"Dukes",21,2020-05-05,0
"Nantucket",11,2020-05-05,0
"Middlesex",16327,2020-05-06,347
"Suffolk",14476,2020-05-06,303
"Essex",10344,2020-05-06,365
"Worcester",6992,2020-05-06,395
"Norfolk",6610,2020-05-06,144
"Plymouth",5899,2020-05-06,163
"Bristol",4380,2020-05-06,145
"Hampden",4321,2020-05-06,118
"Barnstable",997,2020-05-06,28
"Hampshire",580,2020-05-06,5
"Berkshire",461,2020-05-06,4
"Unknown",326,2020-05-06,-268
"Franklin",278,2020-05-06,3
"Dukes",22,2020-05-06,1
"Nantucket",12,2020-05-06,1
"Middlesex",16676,2020-05-07,349
"Suffolk",14732,2020-05-07,256
"Essex",10610,2020-05-07,266
"Worcester",7197,2020-05-07,205
"Norfolk",6729,2020-05-07,119
"Plymouth",6081,2020-05-07,182
"Bristol",4529,2020-05-07,149
"Hampden",4441,2020-05-07,120
"Barnstable",1021,2020-05-07,24
"Hampshire",595,2020-05-07,15
"Berkshire",464,2020-05-07,3
"Unknown",328,2020-05-07,2
"Franklin",285,2020-05-07,7
"Dukes",22,2020-05-07,0
"Nantucket",11,2020-05-07,-1
"Middlesex",17014,2020-05-08,338
"Suffolk",14944,2020-05-08,212
"Essex",10995,2020-05-08,385
"Worcester",7410,2020-05-08,213
"Norfolk",6801,2020-05-08,72
"Plymouth",6194,2020-05-08,113
"Bristol",4670,2020-05-08,141
"Hampden",4522,2020-05-08,81
"Barnstable",1038,2020-05-08,17
"Hampshire",654,2020-05-08,59
"Berkshire",472,2020-05-08,8
"Unknown",297,2020-05-08,-31
"Franklin",289,2020-05-08,4
"Dukes",22,2020-05-08,0
